author_name,quote_text,quote_furigana,category_name
テッド・サランドス,長期間Netflix会員でいる人々こそが成功の基準だ。,ちょうきかんねっとふりっくすかいいんでいるひとびとこそがせいこうのきじゅんだ。,成功
テッド・サランドス,私はテレビの伝統的な基本を深く尊重している。,わたしはてれびのでんとうてきなきほんをふかくそんちょうしている。,文学
テッド・サランドス,映画館での体験は時代遅れの考えだ。,えいがかんでのたいけんはじだいおくれのかんがえだ。,技術革新
テッド・サランドス,私たちはハリウッドを救っている。,わたしたちははりうっどをすくっている。,希望
テッド・サランドス,世界のどこからでも偉大なストーリーは生まれる。,せかいのどこからでもいだいなすとーりーはうまれる。,文学
テッド・サランドス,データ分析を活用して視聴者の嗜好を理解する。,でーたぶんせきをかつようしてしちょうしゃのしこうをりかいする。,科学
テッド・サランドス,消費者に焦点を当て、ファンに焦点を当てる。,しょうひしゃにしょうてんをあて、ふぁんにしょうてんをあてる。,愛
テッド・サランドス,AIを使える人があなたの仕事を奪うかもしれない。,えーあいをつかえるひとがあなたのしごとをうばうかもしれない。,未来
テッド・サランドス,私たちは移行期にある。,わたしたちはいこうきにある。,進歩
テッド・サランドス,私は本とテレビと映画を通じて世界を見る方法を学んだ。,わたしはほんとてれびとえいがをつうじてせかいをみるほうほうをまなんだ。,学び
テッド・サランドス,視聴者がコンテンツを完走するかどうかが成功の指標だ。,しちょうしゃがこんてんつをかんそうするかどうかがせいこうのしひょうだ。,目標達成
ポール・グレアム,人々が望むものを作れ。,ひとびとがのぞむものをつくれ。,起業
ポール・グレアム,拡張しないことをやれ。,かくちょうしないことをやれ。,起業
ポール・グレアム,夢を無視するな。働きすぎるな。思うことを言え。友情を育め。幸せになれ。,ゆめをむしするな。はたらきすぎるな。おもうことをいえ。ゆうじょうをはぐくめ。しあわせになれ。,幸福
ポール・グレアム,良い仕事をする人は、自分の仕事には欠陥しかないと思う。,よいしごとをするひとは、じぶんのしごとにはけっかんしかないとおもう。,創造性
ポール・グレアム,意地悪な人は失敗する。,いじわるなひとはしっぱいする。,哲学
ポール・グレアム,先延ばしをしている大学生ほど強力なエネルギー源はほとんどない。,さきのばしをしているだいがくせいほどきょうりょくなえねるぎーげんはほとんどない。,学び
ポール・グレアム,アイデアでは金持ちになれない。アイデアの正しい実行が金持ちにしてくれる。,あいであではかねもちになれない。あいであのただしいじっこうがかねもちにしてくれる。,起業
ポール・グレアム,希望と不安のバランスを保てば、自転車の両足のようにプロジェクトを前進させる。,きぼうとふあんのばらんすをたもてば、じてんしゃのりょうあしのようにぷろじぇくとをぜんしんさせる。,希望
ポール・グレアム,物事を反対意見に同意しない場合、相手が間違っていることを指摘するより、あなたが間違っていることを言う方が簡単だ。,ものごとをはんたいいけんにどういしないばあい、あいてがまちがっていることをしてきするより、あなたがまちがっていることをいうほうがかんたんだ。,哲学
ポール・グレアム,天才というものは存在しないとは言っていない。しかし、怠惰の言い訳になる理論を選ぶなら、もう一方が正しいだろう。,てんさいというものはそんざいしないとはいっていない。しかし、たいだのいいわけになるりろんをえらぶなら、もういっぽうがただしいだろう。,努力
ポール・グレアム,注意を払うことは、ゆっくり動くことよりも信頼性において重要だ。,ちゅういをはらうことは、ゆっくりうごくことよりもしんらいせいにおいてじゅうようだ。,効率化
ポール・グレアム,ビジネスでは、競合他社が理解していない技術的優位性ほど価値あるものはない。,びじねすでは、きょうごうたしゃがりかいしていないぎじゅつてきゆういせいほどかちあるものはない。,技術革新
ポール・グレアム,装いは必然的に良いアイデアの代用品だ。,よそおいはひつぜんてきによいあいであのだいようひんだ。,創造性
ポール・グレアム,資金調達はスタートアップを始める中で二番目に困難なことだ。,しきんちょうたつはすたーとあっぷをはじめるなかでにばんめにこんなんなことだ。,起業
ポール・グレアム,投資家を説得する最良の方法は、実際に成長している会社を始めることだ。,とうしかをせっとくするさいりょうのほうほうは、じっさいにせいちょうしているかいしゃをはじめることだ。,起業
ポール・グレアム,スタートアップは完全に人生を支配する。,すたーとあっぷはかんぜんにじんせいをしはいする。,起業
ポール・グレアム,歴史のあらゆる時代において、人々は馬鹿げたことを信じてきた。,れきしのあらゆるじだいにおいて、ひとびとはばかげたことをしんじてきた。,哲学
フェリックス・デニス,失敗を恐れるなら、時には公然と破滅的に失敗することを恐れるなら、決して金持ちになることはない。,しっぱいをおそれるなら、ときにはこうぜんとはめつてきにしっぱいすることをおそれるなら、けっしてかねもちになることはない。,逆境
フェリックス・デニス,世の中にはお金があふれている。その一部には私の名前が付いている。,よのなかにはおかねがあふれている。そのいちぶにはわたしのなまえがついている。,成功
フェリックス・デニス,自信がなければ何も達成できない。自信があれば不可能なことはない。,じしんがなければなにもたっせいできない。じしんがあればふかのうなことはない。,成功
フェリックス・デニス,アイデアでは金持ちになれない。アイデアの正しい実行が金持ちにしてくれる。,あいであではかねもちになれない。あいであのただしいじっこうがかねもちにしてくれる。,起業
フェリックス・デニス,何が起こっても絶対に気にしないと自分を説得しなければならない。,なにがおこってもぜったいにきにしないとじぶんをせっとくしなければならない。,哲学
フェリックス・デニス,私には一つの才能がある。人々が自分で何を欲しがっているかを知る二分前に、それを理解することだ。,わたしにはひとつのさいのうがある。ひとびとがじぶんでなにをほしがっているかをしるにふんまえに、それをりかいすることだ。,創造性
フェリックス・デニス,人生で最も大きな間違いは、小さく行動することを忘れることから生まれた。,じんせいでもっともおおきなまちがいは、ちいさくこうどうすることをわすれることからうまれた。,学び
フェリックス・デニス,恐れることはない。恐れは恐れによって養われ、すべての恐れは過ぎ去る。,おそれることはない。おそれはおそれによってやしなわれ、すべてのおそれはすぎさる。,逆境
フェリックス・デニス,知ることは実行することではない。実行することは知ることではない。,しることはじっこうすることではない。じっこうすることはしることではない。,哲学
フェリックス・デニス,良いアイデアは高価なスニーカーのようなものだ。,よいあいであはこうかなすにーかーのようなものだ。,創造性
フェリックス・デニス,偉大なアイデアを持っているという信念は、何の価値もない。,いだいなあいであをもっているというしんねんは、なんのかちもない。,起業
フェリックス・デニス,一生懸命勉強している人は一生懸命死んでいる。,いっしょうけんめいべんきょうしているひとはいっしょうけんめいしんでいる。,学び
フェリックス・デニス,運の影響が妄想だとしても、その妄想は事実上普遍的だ。,うんのえいきょうがもうそうだとしても、そのもうそうはじじつじょうふへんてきだ。,哲学
フェリックス・デニス,制御は必須だ。,せいぎょはひっすだ。,リーダーシップ
フェリックス・デニス,新しいベンチャーで51パーセントのパートナーを受け入れる起業家は、金持ちになることはない。,あたらしいべんちゃーでごじゅういちぱーせんとのぱーとなーをうけいれるきぎょうかは、かねもちになることはない。,起業
フェリックス・デニス,特化は創造性の敵だ。,とっかはそうぞうせいのてきだ。,創造性
フェリックス・デニス,疑いと失敗の恐れを立ち向かわずにいると、自信が蝕まれ、何も達成できない。,うたがいとしっぱいのおそれをたちむかわずにいると、じしんがむしばまれ、なにもたっせいできない。,逆境
ジェイソン・キラー,顧客が常に正しい。,こきゃくがつねにただしい。,愛
ジェイソン・キラー,データドリブンなアプローチで視聴者のニーズに応える。,でーたどりぶんなあぷろーちでしちょうしゃのにーずにこたえる。,科学
ジェイソン・キラー,新しいエンターテインメントの形を創造する。,あたらしいえんたーていんめんとのかたちをそうぞうする。,創造性
ジェイソン・キラー,デジタル時代のコンテンツ制作には革新が必要だ。,でじたるじだいのこんてんつせいさくにはかくしんがひつようだ。,技術革新
ジェイソン・キラー,視聴者の嗜好を理解することが成功の鍵だ。,しちょうしゃのしこうをりかいすることがせいこうのかぎだ。,成功
ジェイソン・キラー,新しい市場を開拓するには勇気が必要だ。,あたらしいしじょうをかいたくするにはゆうきがひつようだ。,挑戦
ジェイソン・キラー,エンターテインメントの未来は個人化にある。,えんたーていんめんとのみらいはこじんかにある。,未来
ジェイソン・キラー,成功するためには顧客を中心に考える必要がある。,せいこうするためにはこきゃくをちゅうしんにかんがえるひつようがある。,愛
ジェイソン・キラー,革新的なアプローチが業界を変える。,かくしんてきなあぷろーちがぎょうかいをかえる。,技術革新
ジェイソン・キラー,質の高いコンテンツを作ることに集中する。,しつのたかいこんてんつをつくることにしゅうちゅうする。,表現
ジェイソン・キラー,新しい技術は新しい機会を生み出す。,あたらしいぎじゅつはあたらしいきかいをうみだす。,発明
ジェイソン・キラー,エンターテインメントの民主化が重要だ。,えんたーていんめんとのみんしゅかがじゅうようだ。,表現
ジェイソン・キラー,顧客の満足度を最優先に考える。,こきゃくのまんぞくどをさいゆうせんにかんがえる。,愛
ジェイソン・キラー,効率的なチームワークが成功の秘訣だ。,こうりつてきなちーむわーくがせいこうのひけつだ。,チームワーク
ジェイソン・キラー,長期的な視点で戦略を立てる。,ちょうきてきなしてんでせんりゃくをたてる。,目標設定
ジェイソン・キラー,業界の変化に対応する柔軟性を持つ。,ぎょうかいのへんかにたいおうするじゅうなんせいをもつ。,進歩
ジェイソン・キラー,創造的な環境を作ることが重要だ。,そうぞうてきなかんきょうをつくることがじゅうようだ。,創造性
アリアナ・ハフィントン,成功の再定義が必要だ。,せいこうのさいていぎがひつようだ。,成功
アリアナ・ハフィントン,健康と生産性は密接に関連している。,けんこうとせいさんせいはみっせつにかんれんしている。,幸福
アリアナ・ハフィントン,新しいジャーナリズムの形を創造する。,あたらしいじゃーなりずむのかたちをそうぞうする。,文学
アリアナ・ハフィントン,女性の力を信じることが大切だ。,じょせいのちからをしんじることがたいせつだ。,希望
アリアナ・ハフィントン,デジタルメディアの革新が世界を変える。,でじたるめでぃあのかくしんがせかいをかえる。,技術革新
アリアナ・ハフィントン,人生のバランスを取ることが成功の鍵だ。,じんせいのばらんすをとることがせいこうのかぎだ。,調和
アリアナ・ハフィントン,睡眠は成功の重要な要素だ。,すいみんはせいこうのじゅうようなようそだ。,幸福
アリアナ・ハフィントン,燃え尽きることなく成功を追求する。,もえつきることなくせいこうをついきゅうする。,成功
アリアナ・ハフィントン,失敗は成功への道のりだ。,しっぱいはせいこうへのみちのりだ。,逆境
アリアナ・ハフィントン,瞑想は現代人に必要な技術だ。,めいそうはげんだいじんにひつようなぎじゅつだ。,魂
アリアナ・ハフィントン,恐れを手放すことが自由への第一歩だ。,おそれをてばなすことがじゆうへのだいいっぽだ。,希望
アリアナ・ハフィントン,直感を信じることが重要だ。,ちょっかんをしんじることがじゅうようだ。,魂
アリアナ・ハフィントン,感謝の気持ちを持つことが幸福への道だ。,かんしゃのきもちをもつことがこうふくへのみちだ。,感謝
アリアナ・ハフィントン,現在の瞬間に集中することが大切だ。,げんざいのしゅんかんにしゅうちゅうすることがたいせつだ。,悟り
アリアナ・ハフィントン,デジタル時代の情報過多から自分を守る。,でじたるじだいのじょうほうかたからじぶんをまもる。,調和
アリアナ・ハフィントン,人間関係が真の富だ。,にんげんかんけいがしんのとみだ。,愛
アリアナ・ハフィントン,変化を恐れず、変化を抱擁する。,へんかをおそれず、へんかをほうよう。,挑戦
ロン・コンウェイ,最高の投資は人に対する投資だ。,さいこうのとうしはひとにたいするとうしだ。,起業
ロン・コンウェイ,優れた創設者を見つけることが成功の鍵だ。,すぐれたそうせつしゃをみつけることがせいこうのかぎだ。,リーダーシップ
ピーター・ティール,明晰な思考のできる人は珍しい、勇気のある人は天才よりもさらに珍しい。,めいせきなしこうのできるひとはめずらしい、ゆうきのあるひとはてんさいよりもさらにめずらしい。,挑戦
ピーター・ティール,賛成する人がほとんどいない、大切な真実とは何だろうか。,さんせいするひとがほとんどいない、たいせつなしんじつとはなんだろうか。,哲学
ピーター・ティール,独占は、すべての成功するビジネスの条件である。,どくせんは、すべてのせいこうするびじねすのじょうけんである。,起業
ピーター・ティール,自分の得意なことにあくまでも集中すべきだし、その前に、それが将来価値を持つかどうかを真剣に考えた方がいい。,じぶんのとくいなことにあくまでもしゅうちゅうすべきだし、そのまえに、それがしょうらいかちをもつかどうかをしんけんにかんがえたほうがいい。,目標設定
ピーター・ティール,ビジネスに同じ瞬間は二度とない。コピーしているようなら、何も学んでいないことになる。,びじねすにおなじしゅんかんはにどとない。こぴーしているようなら、なにもまなんでいないことになる。,創造性
ピーター・ティール,競争は敗者の戦略である。,きょうそうははいしゃのせんりゃくである。,起業
ピーター・ティール,幸福な企業はみな違っている。それぞれが独自の問題を解決することで、独占を勝ち取っている。,こうふくなきぎょうはみなちがっている。それぞれがどくじのもんだいをかいけつすることで、どくせんをかちとっている。,成功
ピーター・ティール,販売のために広告や営業が必要だとしたら、プロダクトに問題がある。,はんばいのためにこうこくやえいぎょうがひつようだとしたら、ぷろだくとにもんだいがある。,技術革新
ピーター・ティール,最も成功するビジネスは、現在とは大きく異なる未来のアイデアを持っている。,もっともせいこうするびじねすは、げんざいとはおおきくことなるみらいのあいでぃあをもっている。,未来
ピーター・ティール,隠れた真実を見つけたら、世界を変える陰謀の共謀者となり得る人に伝えよう。,かくれたしんじつをみつけたら、せかいをかえるいんぼうのきょうぼうしゃとなりえるひとにつたえよう。,哲学
ピーター・ティール,起業とは、世界を変えられると君自身が説得できた人たちの集まりだ。,きぎょうとは、せかいをかえられるときみじしんがせっとくできたひとたちのあつまりだ。,起業
ピーター・ティール,古代人が初めて世界を見た時のような新鮮さと違和感を持って、改めて世界を見ることで、僕たちは世界を創り直すことができる。,こだいじんがはじめてせかいをみたときのようなしんせんさといわかんをもって、あらためてせかいをみることで、ぼくたちはせかいをつくりなおすことができる。,創造性
ピーター・ティール,正しい答えのある問題ではなく、まだ誰も問うていない問いを探せ。,ただしいこたえのあるもんだいではなく、まだだれもとうていないといをさがせ。,学び
ピーター・ティール,未来を信じることが、技術革新の出発点になる。,みらいをしんじることが、ぎじゅつかくしんのしゅっぱつてんになる。,技術革新
ピーター・ティール,新しいものを作るより、在るものをコピーする方が簡単だ。しかし、新しい何かを生み出すたびに、ゼロは1になる。,あたらしいものをつくるより、あるものをこぴーするほうがかんたんだ。しかし、あたらしいなにかをうみだすたびに、ぜろはいちになる。,創造性
ピーター・ティール,偉大な企業かどうかは将来のキャッシュフローを創造する能力で決まる。,いだいなきぎょうかどうかはしょうらいのきゃっしゅふろーをそうぞうするのうりょくできまる。,成功
ピーター・ティール,起業家は、自身の市場でラストムーバーとなるような戦略を立てるべきである。,きぎょうかは、じしんのしじょうでらすともーばーとなるようなせんりゃくをたてるべきである。,起業
ピーター・ティール,特定のニーズに絞って始めよ。まだ人々がやっていないことをやりなさい。,とくていのにーずにしぼってはじめよ。まだひとびとがやっていないことをやりなさい。,起業
マーク・アンドリーセン,ソフトウェアが世界を飲み込んでいる。,そふとうぇあがせかいをのみこんでいる。,技術革新
マーク・アンドリーセン,あらゆる産業はデジタル化し、あらゆる企業はソフトウェア企業になる。,あらゆるさんぎょうはでじたるかし、あらゆるきぎょうはそふとうぇあきぎょうになる。,未来
マーク・アンドリーセン,レンタカーを借りられる年齢になる前に億万長者になった。,れんたかーをかりられるねんれいになるまえにおくまんちょうじゃになった。,成功
マーク・アンドリーセン,好きなことをやれという助言は危険且つ有害だ。価値を追求しろ。,すきなことをやれというじょげんはきけんかつゆうがいだ。かちをついきゅうしろ。,目標設定
マーク・アンドリーセン,技術とは、未知に対する猛烈な攻撃でなければならず、未知を人間に服従させるものだ。,ぎじゅつとは、みちにたいするもうれつなこうげきでなければならず、みちをにんげんにふくじゅうさせるものだ。,技術革新
マーク・アンドリーセン,人類は犠牲者ではなく、征服者なのだ。,じんるいはぎせいしゃではなく、せいふくしゃなのだ。,哲学
マーク・アンドリーセン,特定のニーズに対して使われる頻度が最も高いことが、ソフトウェアの価値を定める。,とくていのにーずにたいしてつかわれるひんどがもっともたかいことが、そふとうぇあのかちをさだめる。,効率化
マーク・アンドリーセン,質問できない答えよりも、答えられない質問を受けたほうがいい。,しつもんできないこたえよりも、こたえられないしつもんをうけたほうがいい。,学び
マーク・アンドリーセン,今日、最も急速に成長している通信会社は、ソフトウェア会社である。,きょう、もっともきゅうそくにせいちょうしているつうしんがいしゃは、そふとうぇあがいしゃである。,進歩
マーク・アンドリーセン,テクノロジーは労働者の生産性を高めるので、雇用主は労働者により多くの賃金を支払うことになる。,てくのろじーはろうどうしゃのせいさんせいをたかめるので、こようしゃはろうどうしゃによりおおくのちんぎんをしはらうことになる。,効率化
マーク・アンドリーセン,すべての子どもは、無限に忍耐強く、無限に思いやりがあり、無限に知識があるAI家庭教師をもつようになる。,すべてのこどもは、むげんににんたいづよく、むげんにおもいやりがあり、むげんにちしきがあるえーあいかていきょうしをもつようになる。,未来
マーク・アンドリーセン,世界中のあらゆる産業で、確立された大企業が新興のソフトウェア企業によって破壊されている。,せかいじゅうのあらゆるさんぎょうで、かくりつされただいきぎょうがしんこうのそふとうぇあきぎょうによってはかいされている。,技術革新
マーク・アンドリーセン,市場を基盤とするテクノキャピタルマシンは、恩恵と生産を確実なものにする生成機なのだ。,しじょうをきばんとするてくのきゃぴたるましんは、おんけいとせいさんをかくじつなものにするせいせいきなのだ。,技術革新
マーク・アンドリーセン,金は、人類を前進させる重要な技術的飛躍を生み出す唯一の動機なのだ。,かねは、じんるいをぜんしんさせるじゅうような ぎじゅつてきひやくをうみだすゆいいつのどうきなのだ。,起業
マーク・アンドリーセン,長期的な人類の発展を望むなら、140文字を超えた未来について考えなければならない。,ちょうきてきなじんるいのはってんをのぞむなら、ひゃくよんじゅうもじをこえたみらいについてかんがえなければならない。,未来
マーク・アンドリーセン,被害者意識は技術との関係性を含め、生活のあらゆる面において呪いとなる。,ひがいしゃいしきはぎじゅつとのかんけいせいをふくめ、せいかつのあらゆるめんにおいてのろいとなる。,哲学
マーク・アンドリーセン,人類は常に技術の支配者であり、技術に支配されることはない。,じんるいはつねにぎじゅつのしはいしゃであり、ぎじゅつにしはいされることはない。,技術革新
ジョン・ドールズ,目標と重要な成果を明確にすることで、チームの力を最大化できる。,もくひょうとじゅうようなせいかをめいかくにすることで、ちーむのちからをさいだいかできる。,目標設定
ジョン・ドールズ,長期的な視点でテクノロジー企業を支援することが、業界の発展に貢献する。,ちょうきてきなしてんでてくのろじーきぎょうをしえんすることが、ぎょうかいのはってんにこうけんする。,進歩
ジョン・ドールズ,アイデアは容易だが、実行は困難である。,あいでぃあはよういだが、じっこうはこんなんである。,目標達成
ジョン・ドールズ,正しい目標を設定し、それを測定できる指標と結びつけることが重要だ。,ただしいもくひょうをせっていし、それをそくていできるしひょうとむすびつけることがじゅうようだ。,目標設定
ジョン・ドールズ,優れたビジョンは、明確で、インスピレーションを与え、測定可能でなければならない。,すぐれたびじょんは、めいかくで、いんすぴれーしょんをあたえ、そくていかのうでなければならない。,リーダーシップ
ジョン・ドールズ,ベンチャー投資家として、起業家の情熱と実行力を見極めることが大切だ。,べんちゃーとうしかとして、きぎょうかのじょうねつとじっこうりょくをみきわめることがたいせつだ。,起業
