word,reading,meaning,example,type,category_id
呼吸を合わせる,こきゅうをあわせる,タイミングを合わせて協調する。,チーム全体で呼吸を合わせて取り組んだ。,慣用句,2
後生大事に,ごしょうだいじに,非常に大切にする。,形見の品を後生大事にしている。,慣用句,2
鼻であしらう,はなであしらう,冷たく扱う。,彼は新人を鼻であしらった。,慣用句,2
虫が好かない,むしがすかない,なんとなく嫌い。,あの人は虫が好かない。,慣用句,2
心を開く,こころをひらく,本心を打ち明ける。,ようやく彼が心を開いてくれた。,慣用句,2
気が利く,きがきく,細かいところに気がつく。,彼女は気が利いて仕事ができる。,慣用句,2
顔色をうかがう,かおいろをうかがう,相手の機嫌や様子を見る。,上司の顔色をうかがって行動している。,慣用句,2
頭が上がらない,あたまがあがらない,相手に対して劣等感を持つ、恩義がある。,奥さんには頭が上がらない。,慣用句,2
鼻高々,はなたかだか,得意になって威張る様子。,息子の成功で鼻高々だ。,慣用句,2
目をかけてもらう,めをかけてもらう,特別に世話をしてもらう。,先輩に目をかけてもらって感謝している。,慣用句,2
袖にする,そでにする,冷たく扱う、無視する。,彼女に袖にされて落ち込んでいる。,慣用句,2
手のひらで踊る,てのひらでおどる,相手の思うままに操られる。,彼の手のひらで踊らされていた。,慣用句,2
膝を突き合わせる,ひざをつきあわせる,親しく向かい合って話し合う。,膝を突き合わせて相談した。,慣用句,2
目くじらを立てる,めくじらをたてる,細かいことにも文句をつける。,そんなことで目くじらを立てるな。,慣用句,2
腹が立つ,はらがたつ,怒りを感じる。,彼の態度に腹が立った。,慣用句,2
気が短い,きがみじかい,すぐに怒る性格。,彼は気が短くてすぐ怒る。,慣用句,2
目が回る,めがまわる,非常に忙しい。,年末で目が回るような忙しさだ。,慣用句,2
耳が遠い,みみがとおい,聞こえが悪い。,祖父は耳が遠くなった。,慣用句,2
鼻が高い,はながたかい,誇らしく思う。,息子の活躍で鼻が高い。,慣用句,2
胸が痛む,むねがいたむ,心配や同情で心が苦しい。,彼の境遇を聞いて胸が痛んだ。,慣用句,2
肩が凝る,かたがこる,肩の筋肉が緊張する、うんざりする。,パソコン作業で肩が凝った。,慣用句,2
手が空く,てがあく,仕事が一段落する。,この仕事が終わったら手が空く。,慣用句,2
足が出る,あしがでる,予算を超過する。,今月は家計から足が出そうだ。,慣用句,2
口が過ぎる,くちがすぎる,言いすぎる。,彼は口が過ぎることがある。,慣用句,2
目が届く,めがとどく,注意が行き渡る。,先生の目が届いているので安心だ。,慣用句,2
耳が早い,みみがはやい,情報を早く知る。,彼は耳が早くて何でも知っている。,慣用句,2
胸を打つ,むねをうつ,深く感動させる。,彼の話は胸を打つものがあった。,慣用句,2
腹を決める,はらをきめる,決心する、覚悟を決める。,腹を決めて転職することにした。,慣用句,2
背中を向ける,せなかをむける,関心を示さない、無視する。,彼は私に背中を向けて歩いて行った。,慣用句,2
目を奪う,めをうばう,注意を引きつける、魅了する。,美しい景色が目を奪った。,慣用句,2
耳を疑う,みみをうたがう,聞いたことが信じられない。,彼の発言に耳を疑った。,慣用句,2
口を挟む,くちをはさむ,会話に割り込む。,話の途中で口を挟むのは失礼だ。,慣用句,2
手を引く,てをひく,関わりをやめる、撤退する。,その事業から手を引くことにした。,慣用句,2
足を洗う,あしをあらう,悪い仲間から抜ける。,ギャンブルから足を洗った。,慣用句,2
肩を落とす,かたをおとす,がっかりする。,試験に落ちて肩を落とした。,慣用句,2
目から鱗が落ちる,めからうろこがおちる,急に物事がよく理解できるようになる。,彼の説明で目から鱗が落ちた。,慣用句,3
頭を絞る,あたまをしぼる,一生懸命考える。,問題解決のために頭を絞った。,慣用句,3
知恵を絞る,ちえをしぼる,知恵を働かせて考える。,知恵を絞って新しいアイデアを考えた。,慣用句,3
目が開ける,めがひらける,見識が広がる、理解が深まる。,海外旅行で目が開けた。,慣用句,3
頭が切れる,あたまがきれる,頭が良い、判断力がある。,彼は頭が切れる人だ。,慣用句,3
物知り顔,ものしりがお,知ったかぶりをする様子。,彼はいつも物知り顔で話す。,慣用句,3
目が覚める,めがさめる,理解する、気づく。,彼の話で現実に目が覚めた。,慣用句,3
鼻が利く,はながきく,勘が鋭い、察知能力がある。,彼は商売の鼻が利く。,慣用句,3
光が射す,ひかりがさす,希望が見える、解決の糸口が見つかる。,研究に光が射してきた。,慣用句,3
目を見張る,めをみはる,非常に驚く。,彼の成長ぶりに目を見張った。,慣用句,3
頭に入る,あたまにはいる,理解する、記憶する。,難しい内容がなかなか頭に入らない。,慣用句,3
耳に残る,みみにのこる,印象に残る、記憶される。,彼の言葉が耳に残っている。,慣用句,3
胸に刻む,むねにきざむ,深く心に留める。,先生の教えを胸に刻んだ。,慣用句,3
頭を使う,あたまをつかう,考える、知恵を働かせる。,もっと頭を使って考えよう。,慣用句,3
耳学問,みみがくもん,人から聞いて得た知識。,それは耳学問で覚えたことだ。,慣用句,3
目が肥える,めがこえる,鑑識眼が養われる。,美術館通いで目が肥えた。,慣用句,3
腹に落ちる,はらにおちる,納得する、理解する。,彼の説明で腹に落ちた。,慣用句,3
口が重い,くちがおもい,あまり話したがらない。,彼は口が重くてなかなか話してくれない。,慣用句,3
舌を巻く,したをまく,非常に感心する。,彼の技術に舌を巻いた。,慣用句,3
耳が痛い,みみがいたい,批判や忠告が身に沁みる。,彼の忠告は耳が痛い。,慣用句,3
目を向ける,めをむける,注意を払う、関心を示す。,環境問題に目を向けるべきだ。,慣用句,3
鼻毛を読む,はなげをよむ,相手の心を読み取る。,彼は人の鼻毛を読むのが上手い。,慣用句,3
目が高い,めがたかい,鑑識眼がある。,彼は芸術作品を見る目が高い。,慣用句,3
耳に挟む,みみにはさむ,ちょっと聞く、うわさを聞く。,彼の昇進を耳に挟んだ。,慣用句,3
頭に血が上る,あたまにちがのぼる,興奮して冷静さを失う。,頭に血が上って冷静に判断できなかった。,慣用句,3
目を光らせる,めをひからせる,厳しく監視する。,先生は生徒に目を光らせている。,慣用句,3
胸が空く,むねがすく,気分がすっきりする。,真実を知って胸が空いた。,慣用句,3
目に付く,めにつく,目立つ、気になる。,彼の行動が目に付く。,慣用句,3
口を酸っぱくする,くちをすっぱくする,何度も繰り返し言う。,口を酸っぱくして注意した。,慣用句,3
骨折り損のくたびれ儲け,ほねおりぞんのくたびれもうけ,努力したのに報われず疲れただけ。,結局骨折り損のくたびれ儲けに終わった。,慣用句,4
身を立てる,みをたてる,成功して地位を築く。,彼は努力して身を立てた。,慣用句,4
名を上げる,なをあげる,有名になる、名声を得る。,彼は若くして名を上げた。,慣用句,4
足をすくわれる,あしをすくわれる,不意に失敗させられる。,油断して足をすくわれた。,慣用句,4
二階から目薬,にかいからめぐすり,回りくどくて効果がない。,そんな方法では二階から目薬だ。,慣用句,4
手も足も出ない,てもあしもでない,どうにも手の打ちようがない。,難問で手も足も出なかった。,慣用句,4
花を咲かせる,はなをさかせる,成功する、成果を上げる。,ついに彼の努力が花を咲かせた。,慣用句,4
水の泡となる,みずのあわとなる,努力が無駄になる。,長年の努力が水の泡となった。,慣用句,4
墓穴を掘る,ぼけつをほる,自分で自分の首を絞める。,余計なことを言って墓穴を掘った。,慣用句,4
一山当てる,ひとやまあてる,大きな成功を収める。,彼は株で一山当てた。,慣用句,4
化けの皮が剥がれる,ばけのかわがはがれる,隠していた正体が露見する。,ついに彼の化けの皮が剥がれた。,慣用句,4
つまずきの石,つまずきのいし,失敗の原因となるもの。,慢心がつまずきの石となった。,慣用句,4
身から出た錆,みからでたさび,自分の行いが原因で起こった災い。,彼の失敗は身から出た錆だ。,慣用句,4
馬脚を現す,ばきゃくをあらわす,隠していた正体や欠点が露見する。,ついに彼の馬脚を現した。,慣用句,4
鬼に金棒,おににかなぼう,強い者がさらに強くなること。,彼に新しい技術が加われば鬼に金棒だ。,慣用句,4
虎の子,とらのこ,大切にしているもの。,虎の子の貯金を使った。,慣用句,4
蛇の道は蛇,じゃのみちはへび,同じ分野の人は互いのことをよく知っている。,蛇の道は蛇で彼の正体はすぐ分かった。,慣用句,4
鳶に油揚げをさらわれる,とびにあぶらあげをさらわれる,横から利益を奪われる。,鳶に油揚げをさらわれたような気分だ。,慣用句,4
雲の上の人,くものうえのひと,身分の高い人。,CEO は雲の上の人だ。,慣用句,4
高嶺の花,たかねのはな,手の届かない存在。,彼女は僕には高嶺の花だ。,慣用句,4
腕が上がる,うでがあがる,技術が向上する。,練習のおかげで腕が上がった。,慣用句,4
腕が鳴る,うでがなる,技術を発揮したくてうずうずする。,久しぶりの料理で腕が鳴る。,慣用句,4
口から出まかせ,くちからでまかせ,その場しのぎのいい加減な発言。,彼の話は口から出まかせだ。,慣用句,4
手に負えない,てにおえない,扱いきれない。,この問題は手に負えない。,慣用句,4
二の足を踏む,にのあしをふむ,ためらって決断できない。,投資に二の足を踏んでいる。,慣用句,4
笛吹けど踊らず,ふえふけどおどらず,働きかけても反応がない。,改革を提案したが笛吹けど踊らずだった。,慣用句,4
後の先,ごのせん,後手に回りながら勝機をつかむこと。,後の先の戦略で勝利した。,慣用句,4
勝負に出る,しょうぶにでる,思い切って行動する。,ここで勝負に出ることにした。,慣用句,4
一花咲かせる,ひとはなさかせる,一度は成功する。,故郷で一花咲かせたい。,慣用句,4
鼻を折る,はなをおる,相手の pride を打ち砕く。,彼の鼻を折ってやった。,慣用句,4
しっぽを出す,しっぽをだす,隠していた正体を現す。,ついにしっぽを出した。,慣用句,4
息の根を止める,いきのねをとめる,完全に打ち負かす。,ライバル会社の息の根を止めた。,慣用句,4
風の前の塵,かぜのまえのちり,非常にもろい存在。,彼らの抵抗は風の前の塵のようだった。,慣用句,4
泥船に乗る,どろぶねにのる,失敗する運命にある事業に参加する。,その会社は泥船に乗るようなものだ。,慣用句,4
地に足がつく,ちにあしがつく,現実的で堅実である。,彼の計画は地に足がついている。,慣用句,4
天にも昇る心地,てんにものぼるここち,非常に嬉しい気持ち。,合格発表で天にも昇る心地だった。,慣用句,4
鶴の一声,つるのひとこえ,権力者の一言で物事が決まること。,社長の鶴の一声で計画が決定した。,慣用句,4
蜘蛛の子を散らす,くものこをちらす,ばらばらに逃げ散る。,警察が来ると皆蜘蛛の子を散らすように逃げた。,慣用句,4
雲泥の差,うんでいのさ,非常に大きな違い。,二人の実力には雲泥の差がある。,慣用句,4
天と地の差,てんとちのさ,非常に大きな違い。,前回と今回では天と地の差がある。,慣用句,4
後の祭り,あとのまつり,時機を逸して手遅れになること。,今更言っても後の祭りだ。,慣用句,5
船に乗り遅れる,ふねにのりおくれる,機会を逃す。,ブームの船に乗り遅れてしまった。,慣用句,5
時機を見る,じきをみる,適切なタイミングを見計らう。,時機を見て話を切り出そう。,慣用句,5
日の目を見る,ひのめをみる,世に認められる機会を得る。,ついに彼の才能が日の目を見た。,慣用句,5
時を稼ぐ,ときをかせぐ,時間を作る、時間を延ばす。,なんとか時を稼いで準備を整えた。,慣用句,5
間が悪い,まがわるい,タイミングが悪い。,雨が降り出すなんて間が悪い。,慣用句,5
時を得る,ときをえる,良いタイミングを得る。,彼は時を得て成功した。,慣用句,5
時の氏神,ときのうじがみ,困ったときに現れる助け人。,彼は時の氏神のように現れた。,慣用句,5
時代の波に乗る,じだいのなみにのる,時代の流れに合わせる。,彼は時代の波に乗って成功した。,慣用句,5
今が潮時,いまがしおどき,今が最適なタイミング。,転職するなら今が潮時だ。,慣用句,5
時を同じくして,ときをおなじくして,同じタイミングで。,時を同じくして二つの事件が起こった。,慣用句,5
旬を逃す,しゅんをのがす,最適な時期を逃す。,商品の旬を逃してしまった。,慣用句,5
鉄は熱いうちに打て,てつはあついうちにうて,時機を逸しないうちに物事を行う。,鉄は熱いうちに打てというから、今すぐ行動しよう。,慣用句,5
石の上にも三年,いしのうえにもさんねん,どんなに辛くても我慢強く続ければ成功する。,石の上にも三年というから、この仕事も続けてみよう。,慣用句,5
棚からぼた餅,たなからぼたもち,思いがけない幸運。,宝くじに当選するなんて棚からぼた餅だ。,慣用句,5
泣きっ面に蜂,なきっつらにはち,悪いことが重なる。,風邪をひいた上に仕事でミスをして泣きっ面に蜂だ。,慣用句,5
弱り目に祟り目,よわりめにたたりめ,悪いことが重なって起こる。,怪我をした上に仕事を失うなんて弱り目に祟り目だ。,慣用句,5
虎穴に入らずんば虎子を得ず,こけつにいらずんばこしをえず,危険を冒さなければ成功は得られない。,虎穴に入らずんば虎子を得ずで挑戦してみよう。,慣用句,5
三度目の正直,さんどめのしょうじき,三回目には成功する。,三度目の正直で合格した。,慣用句,5
七転び八起き,ななころびやおき,何度失敗しても諦めずに立ち上がる。,七転び八起きの精神で頑張ろう。,慣用句,5
ちりも積もれば山となる,ちりもつもればやまとなる,小さなものでも積み重なれば大きくなる。,ちりも積もれば山となるから毎日貯金しよう。,慣用句,5
瓢箪から駒,ひょうたんからこま,思いがけないことが起こる。,彼の成功は瓢箪から駒だった。,慣用句,5
笑う門には福来たる,わらうかどにはふくきたる,明るい家庭には幸福がやってくる。,笑う門には福来たるというから明るくいこう。,慣用句,5
飛んで火に入る夏の虫,とんでひにいるなつのむし,自分から災いに飛び込むこと。,彼の行動は飛んで火に入る夏の虫だ。,慣用句,5
二度あることは三度ある,にどあることはさんどある,同じことが続けて起こりやすい。,二度あることは三度あるから気をつけよう。,慣用句,5
急がば回れ,いそがばまわれ,急ぐときこそ確実な方法を取れ。,急がば回れで丁寧に作業しよう。,慣用句,5
朝起きは三文の徳,あさおきはさんもんのとく,早起きは良いことがある。,朝起きは三文の徳というから早く起きよう。,慣用句,5
待てば海路の日和あり,まてばかいろのひよりあり,待っていれば良い機会がやってくる。,待てば海路の日和ありで焦らずに待とう。,慣用句,5
思い立ったが吉日,おもいたったがきちじつ,決心したらすぐに実行するのが良い。,思い立ったが吉日で今すぐ始めよう。,慣用句,5
明日は明日の風が吹く,あしたはあしたのかぜがふく,将来のことは分からない。,明日は明日の風が吹くから心配するな。,慣用句,5
雲の切れ間,くものきれま,希望が見える瞬間。,困難な状況に雲の切れ間が見えた。,慣用句,6
雪に耐える松,ゆきにたえるまつ,困難に耐え抜く強さ。,彼は雪に耐える松のような人だ。,慣用句,6
嵐の前の静けさ,あらしのまえのしずけさ,大変なことが起こる前の平穏。,今の平穏は嵐の前の静けさかもしれない。,慣用句,6
風向きが変わる,かざむきがかわる,状況や形勢が変化する。,プロジェクトの風向きが変わってきた。,慣用句,6
霧が晴れる,きりがはれる,疑問や不安が解消される。,ようやく心の霧が晴れた。,慣用句,6
雷に打たれる,かみなりにうたれる,突然の衝撃を受ける。,彼の提案に雷に打たれたような衝撃を受けた。,慣用句,6
春一番,はるいちばん,最初に現れる変化の兆し。,彼の成功は業界の春一番だった。,慣用句,6
山が動く,やまがうごく,大きな変化が起こる。,ついに政界の山が動いた。,慣用句,6
川の流れのように,かわのながれのように,自然な流れに任せて。,川の流れのように人生を歩んでいる。,慣用句,6
花咲か爺さん,はなさかじいさん,良いことを起こす人。,彼は職場の花咲か爺さんだ。,慣用句,6
木を見て森を見ず,きをみてもりをみず,細部にとらわれて全体が見えない。,彼は木を見て森を見ない傾向がある。,慣用句,6
一寸の虫にも五分の魂,いっすんのむしにもごぶのたましい,どんな小さな生き物にも心がある。,一寸の虫にも五分の魂というから大切にしよう。,慣用句,6
月とすっぽん,つきとすっぽん,非常に大きな違い。,二人の実力は月とすっぽんだ。,慣用句,6
大海の一滴,たいかいのいってき,全体に比べて非常に小さなもの。,私の貢献は大海の一滴に過ぎない。,慣用句,6
柳に風,やなぎにかぜ,逆らわずに受け流すこと。,彼の批判は柳に風と受け流した。,慣用句,6
竹を割ったような,たけをわったような,さっぱりとした性格。,彼女は竹を割ったような性格だ。,慣用句,6
空気を読む,くうきをよむ,場の雰囲気を察する。,彼は空気を読むのが上手い。,慣用句,6
雲をつかむような話,くもをつかむようなはなし,現実味のない話。,彼の計画は雲をつかむような話だ。,慣用句,6
晴天の霹靂,せいてんのへきれき,突然の驚くべき出来事。,彼の退職は晴天の霹靂だった。,慣用句,6
泥沼にはまる,どろぬまにはまる,困難な状況から抜け出せなくなる。,問題が泥沼にはまってしまった。,慣用句,6
雨降って地固まる,あめふってじかたまる,困難な出来事の後、状況が良くなる。,雨降って地固まるで関係が改善した。,慣用句,6
風が吹けば桶屋が儲かる,かぜがふけばおけやがもうかる,意外なところに影響が及ぶ。,風が吹けば桶屋が儲かるような関係だ。,慣用句,6
青は藍より出でて藍より青し,あおはあいよりいでてあいよりあおし,弟子が師匠を超える。,青は藍より出でて藍より青しで彼は先生を超えた。,慣用句,6
水清ければ魚住まず,みずきよければうおすまず,清すぎると人が寄り付かない。,水清ければ魚住まずで厳しすぎるのも考えものだ。,慣用句,6
五月雨式に,さみだれしきに,断続的に続くこと。,質問が五月雨式に寄せられた。,慣用句,6
火中の栗を拾う,かちゅうのくりをひろう,危険を冒して他人のために尽力する。,火中の栗を拾う覚悟で引き受けた。,慣用句,6
雲行きが怪しい,くもゆきがあやしい,状況が悪い方向に向かっている。,会議の雲行きが怪しくなってきた。,慣用句,6
花に嵐,はなにあらし,美しいものに災いが降りかかること。,花に嵐で彼女にも不幸が降りかかった。,慣用句,6
寝耳に水,ねみみにみず,全く予期しない知らせ。,彼の転職は寝耳に水だった。,慣用句,6
猫に小判,ねこにこばん,価値の分からない人に貴重なものを与えても無駄。,彼に名画を見せても猫に小判だ。,慣用句,7
豚に真珠,ぶたにしんじゅ,価値の分からない人に貴重なものを与えても無駄。,彼に高級品を贈っても豚に真珠だ。,慣用句,7
金の卵を産む鶏,きんのたまごをうむにわとり,継続的に利益をもたらすもの。,この事業は金の卵を産む鶏だ。,慣用句,7
金に糸目をつけない,かねにいとめをつけない,お金を惜しまない。,息子の教育には金に糸目をつけない。,慣用句,7
安物買いの銭失い,やすものがいのぜにうしない,安いものを買うと結局損をする。,安物買いの銭失いにならないよう気をつけよう。,慣用句,7
宝の持ち腐れ,たからのもちぐされ,貴重なものを活用しないこと。,その技術を使わないなんて宝の持ち腐れだ。,慣用句,7
金が物を言う,かねがものをいう,お金が力を持つ。,この世界では金が物を言う。,慣用句,7
身を切る,みをきる,自分を犠牲にして金銭を出す。,身を切って息子の学費を払った。,慣用句,7
懐が寂しい,ふところがさびしい,お金がない。,今月は懐が寂しくて外食できない。,慣用句,7
火の車,ひのくるま,経済状況が非常に苦しい。,家計が火の車で困っている。,慣用句,7
金回りが良い,かねまわりがよい,経済状況が良好。,最近は金回りが良くて助かる。,慣用句,7
金を湯水のように使う,かねをゆみずのようにつかう,お金を無駄遣いする。,彼は金を湯水のように使って破産した。,慣用句,7
一文無し,いちもんなし,全くお金がないこと。,ギャンブルで一文無しになった。,慣用句,7
金に目がくらむ,かねにめがくらむ,お金の魅力に惑わされる。,金に目がくらんで悪事に手を染めた。,慣用句,7
元も子もない,もともこもない,全てを失ってしまう。,そんなことをしたら元も子もない。,慣用句,7
金の工面,かねのくめん,お金を調達すること。,金の工面に苦労している。,慣用句,7
泥棒に追い銭,どろぼうにおいぜん,損の上にさらに損を重ねること。,それでは泥棒に追い銭だ。,慣用句,7
金は天下の回り物,かねはてんかのまわりもの,お金は世の中を回っているもの。,金は天下の回り物だから焦らずに待とう。,慣用句,7
金の切れ目が縁の切れ目,かねのきれめがえんのきれめ,お金がなくなると人間関係も終わる。,金の切れ目が縁の切れ目で友人が離れていった。,慣用句,7
貧乏暇なし,びんぼうひまなし,貧しいと働き続けなければならない。,貧乏暇なしで休む時間がない。,慣用句,7
一攫千金を狙う,いっかくせんきんをねらう,一度に大金を得ようとする。,宝くじで一攫千金を狙っている。,慣用句,7
地獄の沙汰も金次第,じごくのさたもかねしだい,金があれば何でもできる。,地獄の沙汰も金次第というが現実は厳しい。,慣用句,7
時は金なり,ときはかねなり,時間はお金と同じく貴重。,時は金なりだから急いで仕事をしよう。,慣用句,7
一銭を笑う者は一銭に泣く,いっせんをわらうものはいっせんになく,小さなお金を軽視する者は後で困る。,一銭を笑う者は一銭に泣くから節約しよう。,慣用句,7
銭勘定,ぜにかんじょう,お金の計算、金銭管理。,彼は銭勘定が得意だ。,慣用句,7
頭が痛い,あたまがいたい,悩ましい問題がある。,人手不足で頭が痛い。,慣用句,8
胃が痛い,いがいたい,心配事で精神的に参る。,プレゼンのことを考えると胃が痛い。,慣用句,8
肩の荷が下りる,かたのにがおりる,責任や負担から解放される。,プロジェクトが終わって肩の荷が下りた。,慣用句,8
足腰が立たない,あしこしがたたない,体力がなくなる、経営が成り立たない。,高齢で足腰が立たなくなった。,慣用句,8
息を抜く,いきをぬく,休息する、気を抜く。,たまには息を抜くことも大切だ。,慣用句,8
病は気から,やまいはきから,病気は心の持ちようが関係する。,病は気からというから前向きに考えよう。,慣用句,8
目が疲れる,めがつかれる,見続けて疲労する。,パソコン作業で目が疲れた。,慣用句,8
手足が冷える,てあしがひえる,体の末端が冷たくなる。,冬になると手足が冷える。,慣用句,8
朝飯前,あさめしまえ,非常に簡単なこと。,その程度の仕事は朝飯前だ。,慣用句,8
早寝早起き,はやねはやおき,健康的な生活習慣。,早寝早起きを心がけている。,慣用句,8
食べ物の恨み,たべもののうらみ,食事に関する恨みは深い。,食べ物の恨みは恐ろしいと言うからね。,慣用句,8
医者の不養生,いしゃのふようじょう,人に勧めることを自分はしない。,医者の不養生で自分の健康管理ができていない。,慣用句,8
血色が良い,けっしょくがよい,健康で顔色が良い。,彼は血色が良くて健康そうだ。,慣用句,8
二日酔い,ふつかよい,酒を飲みすぎた翌日の不調。,昨夜飲みすぎて二日酔いだ。,慣用句,8
風邪は万病の元,かぜはまんびょうのもと,風邪から他の病気になることがある。,風邪は万病の元だから気をつけよう。,慣用句,8
薬も過ぎれば毒となる,くすりもすぎればどくとなる,良いものでも度を超すと害になる。,薬も過ぎれば毒となるから適度にしよう。,慣用句,8
転ばぬ先の杖,ころばぬさきのつえ,事前に用意をしておく。,転ばぬ先の杖で保険に入っておこう。,慣用句,8
命あっての物種,いのちあってのものだね,生きていてこそ価値がある。,命あっての物種だから安全第一で行こう。,慣用句,8
身体が資本,しんたいがしほん,健康な体こそが基盤。,身体が資本だから健康管理をしっかりしよう。,慣用句,8
毒を食らわば皿まで,どくをくらわばさらまで,悪いことをするなら徹底的に。,毒を食らわば皿までで最後までやり抜こう。,慣用句,8
目を覚ます,めをさます,眠りから目覚める、現実に気づく。,朝六時に目を覚ました。,慣用句,8
骨休め,ほねやすめ,疲れた体を休めること。,温泉で骨休めをしてきた。,慣用句,8
手足を伸ばす,てあしをのばす,リラックスする。,家で手足を伸ばしてくつろいだ。,慣用句,8
歯が立たない,はがたたない,太刀打ちできない。,難しい問題で歯が立たない。,慣用句,8
心を奪われる,こころをうばわれる,すっかり夢中になる。,彼女の美しさに心を奪われた。,慣用句,9
胸が躍る,むねがおどる,期待や喜びで心が弾む。,デートの約束で胸が躍った。,慣用句,9
恋は盲目,こいはもうもく,恋をすると正常な判断ができなくなる。,恋は盲目で彼の欠点が見えない。,慣用句,9
熱を上げる,ねつをあげる,夢中になる、熱中する。,彼はあの女性に熱を上げている。,慣用句,9
目がない,めがない,非常に好む、弱い。,彼は美人に目がない。,慣用句,9
心を寄せる,こころをよせる,好意を抱く。,彼女に心を寄せている。,慣用句,9
胸が高鳴る,むねがたかなる,興奮や期待で心臓が早く打つ。,好きな人に会えると胸が高鳴る。,慣用句,9
心が通う,こころがかよう,お互いの気持ちが理解し合える。,二人は心が通う関係だ。,慣用句,9
愛の巣,あいのす,恋人同士が共に過ごす場所。,二人の愛の巣で幸せに暮らしている。,慣用句,9
恋に落ちる,こいにおちる,恋愛感情を抱く。,一目見て彼女に恋に落ちた。,慣用句,9
心を込める,こころをこめる,真心を込めて行う。,心を込めてプレゼントを作った。,慣用句,9
愛想を尽かす,あいそをつかす,愛情がなくなる、見限る。,ついに彼に愛想を尽かした。,慣用句,9
胸がときめく,むねがときめく,恋愛感情で心が躍る。,初恋の人を見ると胸がときめく。,慣用句,9
身も心も,みもこころも,体も精神も全て。,身も心も彼に捧げている。,慣用句,9
思いを寄せる,おもいをよせる,恋愛感情を抱く。,昔から彼女に思いを寄せていた。,慣用句,9
正直者が馬鹿を見る,しょうじきものがばかをみる,正直な人が損をすることがある。,正直者が馬鹿を見る世の中だが信念を曲げない。,慣用句,10
嘘つきは泥棒の始まり,うそつきはどろぼうのはじまり,小さな嘘から大きな悪事に発展する。,嘘つきは泥棒の始まりだから気をつけなさい。,慣用句,10
人のふり見て我がふり直せ,ひとのふりみてわがふりなおせ,他人を見て自分を反省せよ。,人のふり見て我がふり直せで気をつけよう。,慣用句,10
郷に入っては郷に従え,ごうにいってはごうにしたがえ,その土地の習慣に従うべき。,郷に入っては郷に従えで現地の慣習を尊重した。,慣用句,10
情けは人のためならず,なさけはひとのためならず,人への親切は巡り巡って自分のためになる。,情けは人のためならずで親切にしよう。,慣用句,10
実るほど頭を垂れる稲穂かな,みのるほどあたまをたれるいなほかな,人格者ほど謙虚である。,実るほど頭を垂れる稲穂かなで謙虚でいよう。,慣用句,10
能ある鷹は爪を隠す,のうあるたかはつめをかくす,本当に優秀な人は実力をひけらかさない。,能ある鷹は爪を隠すで彼は謙虚だ。,慣用句,10
類は友を呼ぶ,るいはともをよぶ,似た者同士は自然と集まる。,類は友を呼ぶで同じ趣味の人が集まった。,慣用句,10
親の心子知らず,おやのこころこしらず,親の愛情を子は理解しない。,親の心子知らずで反抗ばかりしていた。,慣用句,10
知らぬが仏,しらぬがほとけ,知らないでいる方が幸せなこともある。,真実を知らない彼は知らぬが仏だ。,慣用句,10
転んでもただでは起きない,ころんでもただではおきない,失敗を活かして利益を得る。,転んでもただでは起きない彼の商魂は見事だ。,慣用句,10
