word,reading,meaning,example,type,category_id
博識多学,はくしきたがく,広い知識と多くの学問を身につけること,博識多学な人として評価されている,四字熟語,3
読書三到,どくしょさんとう,心・眼・口を使って読書すること,読書三到を心がけて学習する,四字熟語,3
学而時習,がくじじしゅう,学んだことを時々復習すること,学而時習の精神で知識を定着させる,四字熟語,3
聞一知十,ぶんいつちじゅう,一を聞いて十を知ること,彼は聞一知十の才能を持っている,四字熟語,3
立身出世,りっしんしゅっせ,身を立て世に出ること,立身出世を目指して努力する,四字熟語,4
一攫千金,いっかくせんきん,一度に大金を手に入れること,宝くじで一攫千金を狙う,四字熟語,4
栄枯盛衰,えいこせいすい,栄えたり衰えたりすること,企業の栄枯盛衰は世の常である,四字熟語,4
成功栄達,せいこうえいたつ,成功して地位や名声を得ること,彼の成功栄達は努力の賜物だ,四字熟語,4
失敗挫折,しっぱいざせつ,失敗して挫けること,失敗挫折を乗り越えて成長した,四字熟語,4
因果応報,いんがおうほう,善悪の行いに応じた結果が現れること,因果応報で悪事は必ず報いを受ける,四字熟語,4
自業自得,じごうじとく,自分の行いの結果を自分で受けること,それは自業自得というものだ,四字熟語,4
勝者必衰,しょうじゃひっすい,勝者もいずれは衰えること,勝者必衰の理を理解する,四字熟語,4
運否天賦,うんぷてんぷ,運命は天の定めること,運否天賦として受け入れる,四字熟語,4
浮沈成敗,ふちんせいばい,浮き沈みと成功失敗,人生の浮沈成敗を経験した,四字熟語,4
一期一会,いちごいちえ,一生に一度の出会いを大切にすること,一期一会の精神でお客様をもてなす,四字熟語,5
千載一遇,せんざいいちぐう,千年に一度の機会,千載一遇のチャンスを逃してはならない,四字熟語,5
時機到来,じきとうらい,よい時期が来ること,時機到来を待って行動する,四字熟語,5
好機逸失,こうきいっしつ,よい機会を逃すこと,好機逸失を後悔している,四字熟語,5
歳月如流,さいげつじょりゅう,月日が流れるように過ぎること,歳月如流で時の早さを感じる,四字熟語,5
光陰矢如,こういんしじょ,時間が矢のように早く過ぎること,光陰矢如で学生時代が終わった,四字熟語,5
機会均等,きかいきんとう,誰にでも等しく機会があること,機会均等の原則を重視する,四字熟語,5
適時適切,てきじてきせつ,適当な時に適当な処置をすること,適時適切な対応が求められる,四字熟語,5
時節到来,じせつとうらい,適当な時期が来ること,改革の時節到来である,四字熟語,5
臨機応変,りんきおうへん,その場の状況に応じて適切に対処すること,臨機応変な対応が必要だ,四字熟語,5
風光明媚,ふうこうめいび,景色が美しいこと,風光明媚な土地で休暇を過ごした,四字熟語,6
春風秋雨,しゅんぷうしゅうう,春の風と秋の雨,春風秋雨の季節を楽しむ,四字熟語,6
花鳥風月,かちょうふうげつ,自然の美しさを表すもの,花鳥風月を愛でる心,四字熟語,6
雲散霧消,うんさんむしょう,雲や霧が散って消えること,問題は雲散霧消した,四字熟語,6
四季折々,しきおりおり,四季それぞれの特色,四季折々の美しさを楽しむ,四字熟語,6
青山緑水,せいざんりょくすい,青い山と緑の水,青山緑水の美しい景色,四字熟語,6
山紫水明,さんしすいめい,山や川の美しい景色,山紫水明の地で暮らす,四字熟語,6
天高気清,てんこうきせい,空が高く澄んでいること,天高気清の秋日和,四字熟語,6
雪月花時,せつげつかじ,雪・月・花の美しい季節,雪月花時を詠んだ詩,四字熟語,6
自然回帰,しぜんかいき,自然に戻ること,都市生活に疲れて自然回帰を望む,四字熟語,6
一攫千金,いっかくせんきん,一度に大金を得ること,宝くじで一攫千金を夢見る,四字熟語,7
清貧楽道,せいひんらくどう,貧しくても心豊かに生きること,清貧楽道の生活を送る,四字熟語,7
金銀財宝,きんぎんざいほう,金や銀などの宝物,海賊の金銀財宝を探す,四字熟語,7
経済発展,けいざいはってん,経済が発達すること,国の経済発展を目指す,四字熟語,7
富国強兵,ふこくきょうへい,国を富ませ軍備を強化すること,明治時代の富国強兵政策,四字熟語,7
質素倹約,しっそけんやく,無駄遣いをせず質素に暮らすこと,質素倹約の生活を心がける,四字熟語,7
節約貯蓄,せつやくちょちく,無駄を省いて貯金すること,節約貯蓄で将来に備える,四字熟語,7
商売繁盛,しょうばいはんじょう,商売が盛んに行われること,商売繁盛を願って神社に参拝した,四字熟語,7
投資利益,とうしりえき,投資によって得られる利益,投資利益を期待して株を購入した,四字熟語,7
財政健全,ざいせいけんぜん,財政が健全であること,財政健全化に向けた取り組み,四字熟語,7
無病息災,むびょうそくさい,病気をせず健康であること,家族の無病息災を祈る,四字熟語,8
健康第一,けんこうだいいち,何よりも健康が大切であること,健康第一で生活習慣を見直した,四字熟語,8
長寿延命,ちょうじゅえんめい,長生きすること,長寿延命の秘訣を探る,四字熟語,8
質実剛健,しつじつごうけん,飾り気がなく心身ともに強いこと,質実剛健な人柄で信頼されている,四字熟語,8
規則正生,きそくせいせい,規則正しい生活,規則正生を心がけて健康を維持する,四字熟語,8
安全第一,あんぜんだいいち,何よりも安全を重視すること,工事現場では安全第一を掲げている,四字熟語,8
栄養満点,えいようまんてん,栄養が十分であること,栄養満点の食事を摂る,四字熟語,8
健全育成,けんぜんいくせい,健全に育てること,青少年の健全育成に取り組む,四字熟語,8
心身健康,しんしんけんこう,心と体が健康であること,心身健康な生活を目指す,四字熟語,8
体力向上,たいりょくこうじょう,体力を向上させること,体力向上のため運動を始めた,四字熟語,8
相思相愛,そうしそうあい,互いに愛し合うこと,あの二人は相思相愛の関係だ,四字熟語,9
一心同体,いっしんどうたい,心が一つになること,夫婦は一心同体である,四字熟語,9
永遠愛情,えいえんあいじょう,永遠の愛情,永遠愛情を誓い合った,四字熟語,9
恋愛成就,れんあいじょうじゅ,恋愛が実ること,恋愛成就を願って神社にお参りした,四字熟語,9
夫婦円満,ふうふえんまん,夫婦の仲が良いこと,夫婦円満で幸せな家庭を築いた,四字熟語,9
愛情深厚,あいじょうしんこう,愛情が深いこと,母の愛情深厚な愛に感謝している,四字熟語,9
情愛深重,じょうあいしんじゅう,情愛が深く重いこと,親子の情愛深重な絆,四字熟語,9
純真無垢,じゅんしんむく,純粋で汚れのないこと,純真無垢な子どもの笑顔,四字熟語,9
恋慕渇仰,れんぼかつごう,深く慕い仰ぐこと,師への恋慕渇仰の念を抱く,四字熟語,9
愛別離苦,あいべつりく,愛する人と別れる苦しみ,愛別離苦の悲しみを味わった,四字熟語,9
仁義道徳,じんぎどうとく,人として守るべき道,仁義道徳を重んじる人格者,四字熟語,10
正々堂々,せいせいどうどう,正しく堂々としていること,正々堂々と勝負に挑んだ,四字熟語,10
清廉潔白,せいれんけっぱく,心が清く私欲がないこと,清廉潔白な政治家として信頼されている,四字熟語,10
誠心誠意,せいしんせいい,真心を込めて,誠心誠意お詫び申し上げます,四字熟語,10
忠孝仁義,ちゅうこうじんぎ,忠義と孝行と仁と義,忠孝仁義を重んじる武士道精神,四字熟語,10
善悪是非,ぜんあくぜひ,善いことと悪いこと・正しいことと間違ったこと,善悪是非を見極める判断力,四字熟語,10
道徳教育,どうとくきょういく,道徳を教えること,道徳教育の充実を図る,四字熟語,10
品行方正,ひんこうほうせい,行いが正しく品格があること,品行方正な学生として表彰された,四字熟語,10
高潔無私,こうけつむし,高潔で私心がないこと,高潔無私な人格で尊敬されている,四字熟語,10
良心的行,りょうしんてきこう,良心に従った行い,良心的行動を心がける,四字熟語,10
絶世美人,ぜっせいびじん,この世にまたとない美人,彼女は絶世美人として有名だった,四字熟語,11
美人薄命,びじんはくめい,美人は短命であること,美人薄命という言葉通りの人生だった,四字熟語,11
芸術的美,げいじゅつてきび,芸術的な美しさ,その建物は芸術的美を誇っている,四字熟語,11
風雅趣味,ふうがしゅみ,上品で優雅な趣味,風雅趣味を愛する文人,四字熟語,11
雅俗折衷,がぞくせっちゅう,上品なものと俗なものを適度に取り入れること,雅俗折衷の作品で人気を博した,四字熟語,11
美的感覚,びてきかんかく,美を感じ取る能力,優れた美的感覚を持つデザイナー,四字熟語,11
優美典雅,ゆうびてんが,優雅で美しいこと,優美典雅な古典舞踊,四字熟語,11
精緻巧妙,せいちこうみょう,細かく巧みであること,精緻巧妙な工芸品,四字熟語,11
華麗豪華,かれいごうか,華やかで豪華なこと,華麗豪華な宮殿,四字熟語,11
繊細優美,せんさいゆうび,細かく美しいこと,繊細優美な刺繍作品,四字熟語,11
勇猛果敢,ゆうもうかかん,勇ましく決断力があること,勇猛果敢に敵に立ち向かった,四字熟語,12
決断実行,けつだんじっこう,決断してすぐに実行すること,決断実行で問題を解決した,四字熟語,12
不撓不屈,ふとうふくつ,どんな困難にも屈しないこと,不撓不屈の精神で困難を乗り越えた,四字熟語,12
勇往邁進,ゆうおうまいしん,勇ましく前進すること,目標に向かって勇往邁進する,四字熟語,12
大胆不敵,だいたんふてき,思い切りがよく恐れないこと,大胆不敵な作戦で勝利を収めた,四字熟語,12
剛毅果断,ごうきかだん,意志が強く決断力があること,剛毅果断なリーダーシップを発揮した,四字熟語,12
勇気凛々,ゆうきりんりん,勇気に満ちていること,勇気凛々として戦いに挑んだ,四字熟語,12
敢為邁往,かんいまいおう,困難を恐れず前進すること,敢為邁往の精神で新事業に取り組む,四字熟語,12
威風堂々,いふうどうどう,威厳があり堂々としていること,威風堂々とした態度で演説した,四字熟語,12
豪胆無比,ごうたんむひ,並外れて大胆なこと,豪胆無比な冒険家として知られている,四字熟語,12
一致団結,いっちだんけつ,心を一つにして結束すること,チーム一致団結して困難に立ち向かった,四字熟語,13
同心協力,どうしんきょうりょく,心を合わせて協力すること,全員が同心協力して目標を達成した,四字熟語,13
共同一致,きょうどういっち,共に力を合わせること,地域住民が共同一致して町おこしに取り組んだ,四字熟語,13
団結力強,だんけつりょくきょう,団結する力が強いこと,チームの団結力強で勝利を掴んだ,四字熟語,13
結束団結,けっそくだんけつ,固く結び付いて団結すること,困難な時こそ結束団結が必要だ,四字熟語,13
協調一致,きょうちょういっち,調和を保ち一致すること,部署間の協調一致で効率が向上した,四字熟語,13
連帯協力,れんたいきょうりょく,連帯して協力すること,労働者が連帯協力してストを行った,四字熟語,13
相互扶助,そうごふじょ,互いに助け合うこと,地域の相互扶助で災害を乗り越えた,四字熟語,13
共存共栄,きょうぞんきょうえい,共に存在し共に栄えること,企業間の共存共栄を目指す,四字熟語,13
和衷協同,わちゅうきょうどう,心を合わせて協力すること,全社員が和衷協同して業績向上に努めた,四字熟語,13
忍耐強靱,にんたいきょうじん,我慢強いこと,忍耐強靱な性格で困難を乗り越えた,四字熟語,14
辛抱努力,しんぼうどりょく,我慢して努力すること,辛抱努力の末に目標を達成した,四字熟語,14
堪忍袋緒,かんにんぶくろのお,我慢の限界,堪忍袋の緒が切れて怒りを爆発させた,四字熟語,14
百忍成金,ひゃくにんせいきん,百回忍耐すれば成功すること,百忍成金の教えを胸に耐え忍んだ,四字熟語,14
忍苦精進,にんくしょうじん,苦しみに耐えて精進すること,忍苦精進して技術を磨いた,四字熟語,14
耐久忍耐,たいきゅうにんたい,長く耐え忍ぶこと,マラソンには耐久忍耐が必要だ,四字熟語,14
臥薪嘗胆,がしんしょうたん,苦労に耐えて復讐の機会を待つこと,臥薪嘗胆の思いで勉強に励んだ,四字熟語,14
忍耐克己,にんたいこっき,忍耐して自分に克つこと,忍耐克己の精神で欲望を抑えた,四字熟語,14
持久忍耐,じきゅうにんたい,長く耐え続けること,持久忍耐で困難な時期を乗り越えた,四字熟語,14
苦節忍従,くせつにんじゅう,苦しい節約生活に耐えること,苦節忍従の生活を送った,四字熟語,14
日進月歩,にっしんげっぽ,日々進歩すること,技術は日進月歩で発展している,四字熟語,15
変化発展,へんかはってん,変化しながら発展すること,社会の変化発展に対応する,四字熟語,15
成長発達,せいちょうはったつ,成長し発達すること,子どもの成長発達を見守る,四字熟語,15
進歩向上,しんぽこうじょう,進歩し向上すること,技術の進歩向上を目指す,四字熟語,15
革新改良,かくしんかいりょう,新しく改め良くすること,製品の革新改良に取り組む,四字熟語,15
発達進化,はったつしんか,発達し進化すること,生物の発達進化の過程,四字熟語,15
変革新生,へんかくしんせい,変わって新しく生まれること,組織の変革新生を図る,四字熟語,15
改善向上,かいぜんこうじょう,改善し向上すること,業務の改善向上に努める,四字熟語,15
発展飛躍,はってんひやく,大きく発展すること,企業の発展飛躍を期待する,四字熟語,15
進化成長,しんかせいちょう,進化し成長すること,人類の進化成長の歴史,四字熟語,15
千客万来,せんきゃくばんらい,多くの客が来ること,店は千客万来で繁盛している,四字熟語,7
起死回生,きしかいせい,絶体絶命の状況から立ち直ること,起死回生の一打で試合をひっくり返した,四字熟語,4
天真爛漫,てんしんらんまん,純真で明るい性格,天真爛漫な子どもの笑顔に癒された,四字熟語,2
虚心坦懐,きょしんたんかい,心に偏見がなく素直なこと,虚心坦懐に意見を聞いた,四字熟語,10
一念発起,いちねんほっき,強い決意を持つこと,一念発起してダイエットを始めた,四字熟語,12
完全無欠,かんぜんむけつ,欠点が全くないこと,彼の技術は完全無欠だ,四字熟語,11
森羅万象,しんらばんしょう,宇宙に存在する全てのもの,森羅万象を研究する学者,四字熟語,6
酔生夢死,すいせいむし,何もしないで無駄に過ごすこと,酔生夢死の生活から抜け出したい,四字熟語,8
波瀾万丈,はらんばんじょう,変化に富んで激しいこと,波瀾万丈の人生を送った,四字熟語,15
一石二鳥,いっせきにちょう,一つの行為で二つの利益を得ること,この方法は一石二鳥で効率的だ,四字熟語,5
色即是空,しきそくぜくう,物質的なものは実体がないこと,色即是空の教えを学ぶ,四字熟語,3
自画自賛,じがじさん,自分で自分を褒めること,自画自賛になるが良い作品ができた,四字熟語,11
四苦八苦,しくはっく,非常に苦労すること,新しい仕事で四苦八苦している,四字熟語,14
大同小異,だいどうしょうい,大筋では同じで細かい点が違うこと,両案は大同小異である,四字熟語,2
単刀直入,たんとうちょくにゅう,遠回しでなく直接的に話すこと,単刀直入に要件を伝えた,四字熟語,2
電光石火,でんこうせっか,非常に素早いこと,電光石火の早業で問題を解決した,四字熟語,5
独立自尊,どくりつじそん,他に頼らず自分の力で立つこと,独立自尊の精神で生きる,四字熟語,12
内憂外患,ないゆうがいかん,国内と国外の心配事,内憂外患に悩まされる,四字熟語,4
半信半疑,はんしんはんぎ,信じる気持ちと疑う気持ちが半々,その話は半信半疑で聞いた,四字熟語,2
百戦錬磨,ひゃくせんれんま,多くの経験を積んで熟練していること,百戦錬磨の営業マンとして活躍している,四字熟語,1
不言実行,ふげんじっこう,口に出さずに実行すること,彼は不言実行の人だ,四字熟語,1
満身創痍,まんしんそうい,全身傷だらけになること,満身創痍になりながらも戦い抜いた,四字熟語,14
無我夢中,むがむちゅう,我を忘れて夢中になること,試験勉強に無我夢中で取り組んだ,四字熟語,1
有言実行,ゆうげんじっこう,言ったことを必ず実行すること,彼は有言実行の人として信頼されている,四字熟語,1
良薬苦口,りょうやくくこう,良い薬は苦いものだが体に良い,厳しい指導も良薬苦口だと思って受け入れた,四字熟語,8
老若男女,ろうにゃくなんにょ,老人も若者も男性も女性も,老若男女問わず楽しめるイベント,四字熟語,2
悠々自適,ゆうゆうじてき,のんびりと自分の思うように過ごすこと,退職後は悠々自適な生活を送りたい,四字熟語,8
無病長寿,むびょうちょうじゅ,病気をしないで長生きすること,無病長寿を願って健康に気をつける,四字熟語,8
純情可憐,じゅんじょうかれん,純真で美しいこと,純情可憐な少女として描かれている,四字熟語,9
心機一転,しんきいってん,気持ちを新たにすること,心機一転して新しい仕事に取り組む,四字熟語,15
新陳代謝,しんちんたいしゃ,古いものが新しいものに入れ替わること,組織の新陳代謝が進んでいる,四字熟語,15
進退両難,しんたいりょうなん,進むことも退くことも困難な状況,進退両難の状況に追い込まれた,四字熟語,4
清風明月,せいふうめいげつ,清らかな風と明るい月,清風明月の夜に詩を詠む,四字熟語,6
千差万別,せんさばんべつ,それぞれ異なっていること,人の価値観は千差万別である,四字熟語,2
即座応答,そくざおうとう,すぐに答えること,質問に対して即座応答した,四字熟語,2
多士済々,たしせいせい,優秀な人材が多いこと,この会社は多士済々である,四字熟語,3
大器晩成,たいきばんせい,大きな才能を持つ人は遅く完成すること,彼は大器晩成タイプだ,四字熟語,15
単純明快,たんじゅんめいかい,簡単で分かりやすいこと,説明が単純明快で理解しやすい,四字熟語,3
千載不磨,せんざいふま,永遠に変わらないこと,千載不磨の名作として語り継がれている,四字熟語,11
天衣無縫,てんいむほう,自然で美しく欠点がないこと,天衣無縫な美しさに魅了された,四字熟語,11
東奔西走,とうほんせいそう,あちこち忙しく駆け回ること,仕事で東奔西走の毎日だ,四字熟語,1
難攻不落,なんこうふらく,攻めるのが困難で落とせないこと,その城は難攻不落で有名だった,四字熟語,12
人面獣心,じんめんじゅうしん,外見は人間だが心は獣のようなこと,彼の人面獣心な行為に驚いた,四字熟語,10
反面教師,はんめんきょうし,悪い例として学ぶべき人,彼を反面教師として気をつけよう,四字熟語,3
不老不死,ふろうふし,老いることも死ぬこともないこと,不老不死の薬を求める,四字熟語,8
平穏無事,へいおんぶじ,穏やかで何事もないこと,平穏無事な一日を過ごした,四字熟語,8
変幻自在,へんげんじざい,自由自在に変化すること,変幻自在な技で観客を魅了した,四字熟語,15
方針転換,ほうしんてんかん,方針を変えること,会社が方針転換を発表した,四字熟語,15
本末転倒,ほんまつてんとう,大切なものとそうでないものを取り違えること,それでは本末転倒だ,四字熟語,4
万事休須,ばんじきゅうす,全てが終わりになること,この失敗で万事休須だ,四字熟語,4
万物流転,ばんぶつるてん,全てのものは常に変化していること,万物流転の理を理解する,四字熟語,15
名実一体,めいじついったい,名前と実体が一致していること,彼は名実一体の経営者だ,四字熟語,10
唯我独尊,ゆいがどくそん,自分だけが尊いと思うこと,唯我独尊な態度は嫌われる,四字熟語,10
用意周到,よういしゅうとう,準備が行き届いていること,用意周到な計画で成功を収めた,四字熟語,1
理想現実,りそうげんじつ,理想と現実,理想現実のギャップに悩む,四字熟語,4
竜頭蛇尾,りゅうとうだび,始めは勢いがあるが終わりは振るわないこと,計画が竜頭蛇尾に終わった,四字熟語,4
和洋折衷,わようせっちゅう,和風と洋風を適度に取り入れること,和洋折衷の建築様式,四字熟語,11
一朝一夕,いっちょういっせき,短期間で,一朝一夕には身につかない技術だ,四字熟語,5
一触即発,いっしょくそくはつ,今にも爆発しそうな危険な状態,両国の関係は一触即発の状態だ,四字熟語,4
一長一短,いっちょういったん,良い面と悪い面があること,どの方法も一長一短がある,四字熟語,4
一網打尽,いちもうだじん,一度に全部捕らえること,犯罪組織を一網打尽にした,四字熟語,12
右往左往,うおうさおう,あちこち迷い歩くこと,突然の変更で皆が右往左往した,四字熟語,4
疑心暗鬼,ぎしんあんき,疑いの心で何でも怖く思うこと,疑心暗鬼になって周りを信じられない,四字熟語,2
空前絶後,くうぜんぜつご,前にも後にもない珍しいこと,空前絶後の大記録を樹立した,四字熟語,4
古今東西,ここんとうざい,昔から今まで世界中で,古今東西を通じて名作とされている,四字熟語,5
支離滅裂,しりめつれつ,まとまりがなくばらばらなこと,彼の話は支離滅裂で理解できない,四字熟語,4
縦横無尽,じゅうおうむじん,自由自在に行動すること,縦横無尽に活躍する選手,四字熟語,12
十人十色,じゅうにんといろ,人それぞれ考えや好みが違うこと,十人十色で面白い,四字熟語,2
針小棒大,しんしょうぼうだい,小さなことを大げさに言うこと,針小棒大に騒ぎ立てるな,四字熟語,2
前代未聞,ぜんだいみもん,今まで聞いたことがないほど珍しいこと,前代未聞の出来事に驚いた,四字熟語,4
大風呂敷,おおぶろしき,大げさなことを言うこと,彼はいつも大風呂敷を広げる,四字熟語,2
天変地異,てんぺんちい,自然界の異常な変化,天変地異が続いて不安だ,四字熟語,6
二転三転,にてんさんてん,何度も変わること,計画が二転三転して混乱した,四字熟語,15
破天荒,はてんこう,前例のない珍しいこと,破天荒な発想で注目を集めた,四字熟語,15
品性高潔,ひんせいこうけつ,品格があり心が清らかなこと,品性高潔な人として尊敬されている,四字熟語,10
奮闘努力,ふんとうどりょく,力を尽くして努力すること,奮闘努力の甲斐あって成功した,四字熟語,1
粉骨砕身,ふんこつさいしん,身を粉にして努力すること,粉骨砕身して働いた,四字熟語,1
平々凡々,へいへいぼんぼん,平凡で変わったところがないこと,平々凡々な毎日に飽きている,四字熟語,8
変化万端,へんかばんたん,様々に変化すること,変化万端な天気に振り回された,四字熟語,15
泰然自若,たいぜんじじゃく,落ち着いていて動じないこと,危機的状況でも泰然自若としていた,四字熟語,12
天衣無縫,てんいむほう,自然で美しく欠点がないこと,天衣無縫な美しさに魅了された,四字熟語,11
東奔西走,とうほんせいそう,あちこち忙しく駆け回ること,営業で東奔西走の毎日だ,四字熟語,1
博学多才,はくがくたさい,広い知識と多くの才能を持つこと,博学多才な学者として尊敬されている,四字熟語,3
半信半疑,はんしんはんぎ,信じる気持ちと疑う気持ちが半々,その話は半信半疑で聞いた,四字熟語,2
風光明媚,ふうこうめいび,景色が美しいこと,風光明媚な観光地で休暇を過ごした,四字熟語,6
変幻自在,へんげんじざい,自由自在に変化すること,変幻自在な技で観客を魅了した,四字熟語,15
本末転倒,ほんまつてんとう,大切なものとそうでないものを取り違えること,手段が目的になるのは本末転倒だ,四字熟語,4
万物流転,ばんぶつるてん,全てのものは常に変化していること,万物流転の理を悟った,四字熟語,15
夢想現実,むそうげんじつ,夢と現実,夢想現実の境界が曖昧になった,四字熟語,4
絶体絶命,ぜったいぜつめい,絶対に逃れられない危険な状況,絶体絶命のピンチを迎えた,四字熟語,4
自画自賛,じがじさん,自分で自分を褒めること,自画自賛になるが良い作品ができた,四字熟語,11
四苦八苦,しくはっく,非常に苦労すること,新しい仕事で四苦八苦している,四字熟語,14
単刀直入,たんとうちょくにゅう,遠回しでなく直接的に話すこと,単刀直入に要件を伝えた,四字熟語,2
電光石火,でんこうせっか,非常に素早いこと,電光石火の速さで駆けつけた,四字熟語,5
独立自尊,どくりつじそん,他に頼らず自分の力で立つこと,独立自尊の精神で生きている,四字熟語,12
内憂外患,ないゆうがいかん,国内と国外の心配事,内憂外患に悩まされている,四字熟語,4
百戦錬磨,ひゃくせんれんま,多くの経験を積んで熟練していること,百戦錬磨の営業マンとして活躍している,四字熟語,1
不言実行,ふげんじっこう,口に出さずに実行すること,彼は不言実行の人だ,四字熟語,1
満身創痍,まんしんそうい,全身傷だらけになること,満身創痍になりながらも戦い抜いた,四字熟語,14
無我夢中,むがむちゅう,我を忘れて夢中になること,試験勉強に無我夢中で取り組んだ,四字熟語,1
有言実行,ゆうげんじっこう,言ったことを必ず実行すること,彼は有言実行の人として信頼されている,四字熟語,1
良薬苦口,りょうやくくこう,良い薬は苦いものだが体に良い,厳しい指導も良薬苦口と受け入れた,四字熟語,8
創意工夫,そういくふう,新しいアイデアで工夫すること,創意工夫で問題を解決した,四字熟語,15
臨機応変,りんきおうへん,その場の状況に応じて適切に対処すること,臨機応変な対応が求められる,四字熟語,5
悪戦苦闘,あくせんくとう,苦しい戦いを続けること,新規事業で悪戦苦闘している,四字熟語,14
威風堂々,いふうどうどう,威厳があり堂々としていること,威風堂々とした行進曲が響いた,四字熟語,12
以心伝心,いしんでんしん,言葉に出さなくても心が通じ合うこと,夫婦の間では以心伝心だ,四字熟語,2
一心同体,いっしんどうたい,心が一つになって行動すること,夫婦は一心同体で困難を乗り越えた,四字熟語,2
温厚篤実,おんこうとくじつ,穏やかで誠実なこと,温厚篤実な人柄で慕われている,四字熟語,10
快刀乱麻,かいとうらんま,複雑な問題を鮮やかに解決すること,快刀乱麻を断つが如く問題を解決した,四字熟語,4
確固不動,かっこふどう,確固として動かないこと,確固不動の信念を持っている,四字熟語,12
完全無欠,かんぜんむけつ,完全で欠点がないこと,彼の技術は完全無欠だ,四字熟語,11
危機一髪,ききいっぱつ,非常に危険な状況,危機一髪で事故を免れた,四字熟語,4
議論百出,ぎろんひゃくしゅつ,たくさんの議論が出ること,会議では議論百出で活発だった,四字熟語,2
謹厳実直,きんげんじっちょく,慎み深く実直なこと,謹厳実直な校長先生として尊敬されている,四字熟語,10
勤倹力行,きんけんりっこう,勤勉で倹約し努力すること,勤倹力行で家計を支えた,四字熟語,1
緊急事態,きんきゅうじたい,緊急の事態,緊急事態に迅速に対応した,四字熟語,5
堅忍不抜,けんにんふばつ,我慢強く屈しないこと,堅忍不抜の精神で困難を乗り越えた,四字熟語,14
賢明判断,けんめいはんだん,賢明に判断すること,賢明判断で危機を回避した,四字熟語,3
厚徳載物,こうとくさいぶつ,厚い徳で多くを包容すること,厚徳載物の人格者として慕われている,四字熟語,10
剛健質実,ごうけんしつじつ,心身が強く質素なこと,剛健質実な武士道精神を持っている,四字熟語,10
誠心誠力,せいしんせいりょく,真心と全力で取り組むこと,誠心誠力で任務を遂行した,四字熟語,1
全知全能,ぜんちぜんのう,全てを知り全てができること,神は全知全能であると信じられている,四字熟語,3
創意創造,そういそうぞう,新しいアイデアと創造,創意創造で革新的な製品を開発した,四字熟語,15
大義名分,たいぎめいぶん,行動の正当な理由,大義名分を掲げて改革を断行した,四字熟語,10
知勇兼備,ちゆうけんび,知恵と勇気を兼ね備えること,知勇兼備の将軍として活躍した,四字熟語,12
